isbn,title,book_author,year_of_publication,publisher,stock
0553062042,Daybreakers Louis Lamour Collection,Louis Lamour,1981,Bantam Doubleday Dell,95
0316769487,The Catcher in the Rye,J.D. Salinger,1991,Little,87
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro,7
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro,67
8445071777,El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.),J. R. R. Tolkien,2001,26
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,92
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,41
0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press,76
0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press,5
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,88
0316973742,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books,59
0385235941,Prize Stories, 1987: The O'Henry Awards,William Abrahams,1987,82
0446677450,Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,2000,57
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,72
0553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam,86
0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside,94
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,24
0684822733,Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans,Pam Proctor,69
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,33
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,Tusquets,30
0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek,8
0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket,28
0440222303,The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5),Neal Barrett Jr.,72
0312953453,Blood Oath,David Morrell,1994,St. Martin's Press,95
0446608653,The Alibi,Sandra Brown,2000,Warner Books,16
0446612545,The Beach House,James Patterson,2003,Warner Books,44
0446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books,65
0451208080,The Short Forever,Stuart Woods,2003,Signet Book,49
0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,60
0671027360,Angels &amp, Demons,Dan Brown,2001,7
0812575954,The Deal,Joe Hutsko,2000,Tor Books (Mm),81
0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books,11
0743439740,Every Breath You Take : A True Story of Obsession, Revenge, and Murder,Ann Rule,52
0345372700,If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground,LEWIS GRIZZARD,1991,29
0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),79
0446325805,If Love Were Oil, I'd Be About a Quart Low,Lewis Grizzard,1994,7
0451406923,Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims,Charles Hickey,1996,52
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,9
0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press,14
0840734530,The Oneprince (The Redaemian Chronicles, Book 1),Bill Hand,1992,75
0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,96
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House,89
9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa,28
0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,Signet Book,51
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,35
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,68
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,69
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,88
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,52
0330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,Pan Macmillan,82
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,44
0393020371,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton &amp,79
1900850303,The Angelic Darkness,Richard Zimler,1999,Arcadia Books,15
1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000,John Hunt Publishing,44
0345425294,Gangster,Lorenzo Carcaterra,2002,Fawcett Books,77
0451410319,Hush,Anne Frasier,2002,Onyx Books,35
0553583468,Whisper of Evil (Hooper, Kay. Evil Trilogy.),Kay Hooper,2002,40
8420639133,Temor y Temblor,Soren Kierkegaard,2001,Alianza,89
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center,66
0380778556,Rebecca,Daphne Du Maurier,1994,Avon,1
0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,15
0002740230,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square,54
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,49
0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf,92
0505524996,Contact,Susan Grant,2002,Love Spell,31
0140252800,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd,86
0451452755,The Catswold Portal,Shirley Rousseau Murphy,1993,Roc,25
0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy,28
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,59
0060801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher,7
0061030147,Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis,90
0140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books,10
0446527165,Wish You Well,David Baldacci,2000,Warner Books,55
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,27
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,69
039575514X,My Antonia,Willa Cather,1995,Mariner Books,40
0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,82
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),55
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,39
0671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,Aladdin,40
0671047612,Skin And Bones,Franklin W. Dixon,2000,Aladdin,76
0671504282,LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The),Franklin W. Dixon,1995,65
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group,22
0785263292,If Singleness Is a Gift, What's the Return Policy?,Holly Virden,2003,38
0830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,Regal Books,31
0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,16
0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,97
3150000335,Kabale Und Liebe,Schiller,0,Philipp Reclam,4
3257203659,Der illustrierte Mann. Erz�?¤hlungen.,Ray Bradbury,2002,Diogenes,54
3257207522,Der K�?¶nig in Gelb.,Raymond Chandler,1980,Diogenes Verlag,46
3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc,23
3257208634,Die Mars- Chroniken. Roman in Erz�?¤hlungen.,Ray Bradbury,1981,Diogenes Verlag,93
3257208669,Das B�?¶se kommt auf leisen Sohlen.,Ray Bradbury,2003,Diogenes,86
3257210450,L�?¶wenzahnwein. Roman.,Ray Bradbury,1999,Diogenes Verlag,69
3257212054,Das Kind von morgen. Erz�?¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,9
3257212429,Die Mechanismen der Freude. Erz�?¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,59
3257214154,Familientreffen. Erz�?¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,67
3257216416,Der Tod kommt schnell in Mexico. Erz�?¤hlungen.,Ray Bradbury,1988,Diogenes Verlag,49
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks,42
342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,0,Deutscher Taschenbuch Verlag (DTV),64
3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,1993,Dtv,48
3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,Dtv,52
3426605686,Haifischfrauen.,Kiana Davenport,1996,Droemersche Verlagsanstalt Th. Knaur Nachf.,99
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne,26
3462021095,Schwarzer Tee mit drei Stück Zucker,Renan Demirkan,1991,Kiepenheuer &amp,88
3492045642,Quersch�?¼sse - Downsize This!,Michael Moore,2003,Piper,94
3498020862,Die Korrekturen.,Jonathan Franzen,2002,Rowohlt,99
3499110695,Neun Erz�?¤hlungen.,Jerome D. Salinger,1968,Rowohlt Tb.,12
3499151502,Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.,Jerome D. Salinger,1998,99
3518111000,Ulysses (�?�?bersetzg. Wollschl�?¤ger). ( Neue Folge, 100).,James Joyce,1981,45
3548254268,Eine ganz normale Aff�?¤re.,Joanna Trollope,2002,Ullstein Tb,60
3570300099,Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).,Sue Townsend,2002,31
3596292646,Das Buch der l�?¤cherlichen Liebe.,Milan Kundera,2000,Fischer (Tb.),37
0060977493,The God of Small Things,Arundhati Roy,1998,Perennial,53
0312872682,The James Dean Affair: A Neil Gulliver &amp, Stevie Marriner Novel,Robert S. Levinson,2000,70
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,Little,16
0316693006,Four Blind Mice,James Patterson,2002,Little,99
0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,95
0345378490,Congo,Michael Crichton,1995,Ballantine Books,48
0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,31
0345433173,The Tall Pine Polka,Lorna Landvik,1999,Ballantine Books,71
0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,28
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,21
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,7
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,66
0380754509,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,1988,Avon Books,21
038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,Avon Trade,93
0380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon,32
0385316895,Legacy of Silence,Belva Plain,1998,Bantam Dell Pub Group,17
0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday,25
0385508042,The King of Torts,John Grisham,2003,Doubleday Books,45
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,2
0385511612,Bleachers,John Grisham,2003,Doubleday,85
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,25
0425164403,Only Love (Magical Love),Erich Segal,1998,Berkley Publishing Group,68
0440234964,All or Nothing (Wheeler Large Print Books),Elizabeth Adler,2000,Island,88
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,61
0446610399,The Rescue,Nicholas Sparks,2001,Warner Books,60
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,23
0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,45
0451162072,Pet Sematary,Stephen King,1994,Signet Book,49
0451186648,Silent Snow,Steve Thayer,2000,Signet Book,23
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,51
051513290X,Summer of Storms,Judith Kelman,2002,Jove Books,52
0553580388,The Patient,Michael Palmer,2001,Bantam Books,95
0590598848,Demona's Revenge (Gargoyles, No. 2),Francine Hughes,1995,44
0590629719,Clifford's Sports Day,Norman Bridwell,1996,Scholastic,84
0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,28
0671027387,Deception Point,Dan Brown,2002,Pocket,30
0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,55
0743486226,Angels &amp, Demons,Dan Brown,2003,10
0786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion,69
0803251718,Crazy Horse,Mari Sandoz,1961,University of Nebraska Press,30
0804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998,Ivy Books,78
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor,91
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,88
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,19
0151008116,Life of Pi,Yann Martel,2002,Harcourt,53
0375704965,A Judgement in Stone,Ruth Rendell,2000,Vintage Books USA,26
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,83
0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,15
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,26
0435272683,Great Expectations (Heinemann Guided Readers),John Milne,1995,Delta Systems,61
0316782505,The Weight of Water,Anita Shreve,2001,Little,49
006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch,64
0060013117,Night Watch,Terry Pratchett,2002,HarperCollins,31
0060199563,Thief of Time,Terry Pratchett,2001,HarperCollins Publishers,65
006052779X,Charlotte's Web Book and Charm (Charming Classics),E. B. White,2003,HarperFestival,59
0060563079,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,HarperFestival,13
0060809027,My Friend Flicka,Mary O'Hara,1988,Perennial,14
0061040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,HarperCollins,36
0061050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,HarperPrism,97
0061052515,Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).),Terry Pratchett,16
0061052523,Interesting Times: A Novel of Discworld,Terry Pratchett,1997,Harpercollins,43
0064472264,On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson,Louise Rennison,2002,24
0140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,12
0312148267,The Wind in the Willows,Kenneth Grahame,1996,St. Martin's Press,15
0312156960,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,St. Martin's Griffin,5
0312890044,Moonheart (Newford),Charles de Lint,1994,Orb Books,95
034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books,73
0373836023,Powder and Patch,Georgette Heyer,2004,Harlequin,45
0375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library,35
0375801677,The Iron Giant,Ted Hughes,1999,Knopf Books for Young Readers,69
0375814248,James and the Giant Peach,ROALD DAHL,2002,Knopf Books for Young Readers,90
0375823352,The Amber Spyglass (His Dark Materials, Book 3),PHILIP PULLMAN,2002,100
037582345X,The Golden Compass (His Dark Materials, Book 1),PHILIP PULLMAN,2002,2
0375823468,The Subtle Knife (His Dark Materials, Book 2),PHILIP PULLMAN,2002,25
0380730448,The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole,Sue Townsend,1997,20
0380973839,Martian Chronicles,Ray Bradbury,1997,William Morrow,41
0385327773,The Great God Pan,Donna Jo Napoli,2003,Wendy Lamb Books,20
0394586239,Possession: A Romance,A. S. Byatt,1990,Random House Inc,82
0439510112,Born Confused,Tanuja Desai Hidier,2003,Push,9
0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,68
0451409256,Making Minty Malone,Isabel Wolff,2000,Onyx Books,19
0451523415,Little Women (Signet Classic),Louisa May Alcott,1988,Signet Classics,68
0451526279,Emma (Signet Classics (Paperback)),Jane Austen,1996,Signet Classics,31
0451526341,Animal Farm,George Orwell,2004,Signet,87
0486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,2001,Dover Publications,26
0553280589,Eva Luna,Isabel Allende,1989,Bantam Books,31
0571197639,Poisonwood Bible Edition Uk,Barbara Kingsolver,0,Faber Faber Inc,37
0670035262,The Green Man : Tales from the Mythic Forest,Ellen Datlow,2002,Viking Juvenile,22
0679423079,Nicholas Nickleby (Everyman's Library),Charles Dickens,1993,Alfred A. Knopf,55
0679751343,Angels &amp, Insects : Two Novellas,A.S. BYATT,1994,9
0684833395,Catch 22,Joseph Heller,1996,Simon &amp,52
0743245024,The Forsyte Saga : The Man of Property and In Chancery,John Galsworthy,2002,Touchstone,35
0749748001,The Enchanted Wood,Enid Blyton,2002,Egmont Childrens Books,40
0749748028,The Folk of the Faraway Tree,Enid Blyton,2002,Egmont Childrens Books,62
0963094424,Angels and Visitations: A Miscellany,Neil Gaiman,1993,Dreamhaven Books,25
1401201172,League of Extraordinary Gentlemen, Vol. 2 (Comic),Alan Moore,2003,45
1563892278,Preludes and Nocturnes (Sandman, Book 1),Neil Gaiman,1998,56
1563898586,The League of Extraordinary Gentlemen, Vol. 1,Alan Moore,2002,5
156971620X,Harlequin Valentine,Neil Gaiman,2002,Dark Horse Comics,97
1592571301,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),Trudy Suggs,2003,Alpha Books,41
0374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp,33
0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA,10
0440235502,October Sky: A Memoir,Homer Hickam,1999,Dell,16
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,2
1573225487,The Romance Reader,Pearl Abraham,1996,Riverhead Books,76
1853260673,Far from the Madding Crowd (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,75
0060977477,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1999,Perennial,38
0345391691,The Battle for God,Karen Armstrong,2001,Ballantine Books,52
0520011171,Sappho: A New Translation,Mary Barnard,1958,University of California Press,31
0553278746,The Postman (Bantam Classics),David Brin,1990,Spectra Books,51
0670856045,The Tortilla Curtain,T. Coraghessan Boyle,1995,Viking Books,33
0872200760,Symposium,Paul Woodruff,1989,Hackett Pub Co Inc,25
0937858994,The What's Happening to My Body? Book for Boys: A Growing Up Guide for Parents and Sons,Lynda Madaras,1987,W W Norton &amp,15
0671649949,OBJECT AFFECTION,Stephen McCauley,1988,Washington Square Press,94
0590431110,The Journey Home,Isabelle Holland,1993,Scholastic Paperbacks (Mm),12
0064470113,Taking the Ferry Home,Pam Conrad,1990,Harpercollins Juvenile Books,79
0553571486,Angel of Hope (Mercy Trilogy),Lurlene McDaniel,2000,Starfire,15
0972044205,The Breach,Brian Kaufman,2002,Last Knight Pub Co,62
0312963009,Neanderthal: A Novel,John Darnton,1997,St. Martin's Press,79
0345430476,A Small Dark Place,Martin Schenk,1999,Ballantine Books,85
0345435869,The Rivan Codex : Ancient Texts of THE BELGARIAD and THE MALLOREON,DAVID EDDINGS,1999,Del Rey,67
